nu,CH4/x=0.000002/T=253K/P=0.53atm/L=1000000cm
6082.0,0.0
6082.01,0.000330952095537
6082.02,0.000326400683907
6082.03,0.000316609675189
6082.04,0.000295970626537
6082.05,0.000270144818938
6082.06,0.000249340281827
6082.07,0.000238516353451
6082.08,0.000237997409792
6082.09,0.000246496400985
6082.1,0.000261951204904
6082.11,0.000282895879113
6082.12,0.00031121829343
6082.13,0.000351519887887
6082.14,0.000403520482092
6082.15,0.000451907465629
6082.16,0.000473891509152
6082.17,0.000468387649637
6082.18,0.00045891118564
6082.19,0.000465307680706
6082.2,0.000492278042753
6082.21,0.000532891671396
6082.22,0.0005698058274
6082.23,0.000586378296879
6082.24,0.000585576799828
6082.25,0.000580046569835
6082.26,0.000567048806347
6082.27,0.00053412622908
6082.28,0.000480687696087
6082.29,0.00041919789336
6082.3,0.000362082985916
6082.31,0.000315917179499
6082.32,0.00028232853881
6082.33,0.000260117410306
6082.34,0.000247418751854
6082.35,0.000242869636128
6082.36,0.000245534878322
6082.37,0.000253940732716
6082.38,0.000265783929305
6082.39,0.000280674985384
6082.4,0.000302731755339
6082.41,0.000337932232936
6082.42,0.000389184978342
6082.43,0.000450587797679
6082.44,0.000502574304271
6082.45,0.000522516953474
6082.46,0.000508326575582
6082.47,0.000476933496272
6082.48,0.000440784537944
6082.49,0.000402304248507
6082.5,0.000362656170227
6082.51,0.000325682068491
6082.52,0.000295364658427
6082.53,0.000273002030314
6082.54,0.000258052271969
6082.55,0.000249796511434
6082.56,0.00024798020095
6082.57,0.000253016721846
6082.58,0.000264219390524
6082.59,0.000277298121033
6082.6,0.000285509050596
6082.61,0.000285189481632
6082.62,0.000280147554968
6082.63,0.00027725432146
6082.64,0.000277394153066
6082.65,0.000274916465965
6082.66,0.000266301692413
6082.67,0.000255411464465
6082.68,0.000248617015118
6082.69,0.000249108803133
6082.7,0.000255826396909
6082.71,0.000264194248921
6082.72,0.000268724923377
6082.73,0.000268372939205
6082.74,0.000268424779528
6082.75,0.000274644101299
6082.76,0.000288161644345
6082.77,0.000306175082521
6082.78,0.000324833021238
6082.79,0.000339380987702
6082.8,0.000345024029987
6082.81,0.000343098561404
6082.82,0.000341945812457
6082.83,0.000349103408977
6082.84,0.000366047942901
6082.85,0.000389417994412
6082.86,0.000413987892099
6082.87,0.000434223951877
6082.88,0.00044720535496
6082.89,0.000455455774491
6082.9,0.000466489533877
6082.91,0.000488484906836
6082.92,0.000522614668767
6082.93,0.000558145820116
6082.94,0.000577041320285
6082.95,0.00056755019847
6082.96,0.000533092169261
6082.97,0.000488318504273
6082.98,0.000448783634481
6082.99,0.000421434252413
6083.0,0.000403346461389
6083.01,0.000388826160399
6083.02,0.000376592167523
6083.03,0.000368673082127
6083.04,0.00036489808647
6083.05,0.000362111453144
6083.06,0.000357975028287
6083.07,0.000353235054225
6083.08,0.000350105137092
6083.09,0.000350481984435
6083.1,0.000355151861465
6083.11,0.000362977207146
6083.12,0.00037207324019
6083.13,0.000382685795244
6083.14,0.000397200381206
6083.15,0.000417871179349
6083.16,0.00044630941558
6083.17,0.000484353663467
6083.18,0.000534734009803
6083.19,0.000601065746056
